"uf";"br";"total_acidentes";"total_mortos";"acidentes_fatais";"perc_fatais"
"MG";"381";"2845";"158";"139";"4.89"
"BA";"101";"956";"153";"122";"12.76"
"MG";"40";"1972";"153";"123";"6.24"
"PR";"277";"2157";"152";"134";"6.21"
"SP";"116";"3249";"152";"143";"4.4"
"SC";"101";"4222";"147";"140";"3.32"
"RJ";"101";"2415";"138";"125";"5.18"
"BA";"116";"1038";"126";"110";"10.6"
"MG";"116";"1412";"124";"104";"7.37"
"ES";"101";"2084";"123";"112";"5.37"
"PR";"376";"1700";"116";"109";"6.41"
"PE";"232";"830";"105";"99";"11.93"
"MG";"262";"1095";"101";"90";"8.22"
"SC";"470";"1066";"101";"82";"7.69"
"SC";"282";"1379";"100";"82";"5.95"
"RJ";"116";"1798";"95";"92";"5.12"
"GO";"153";"973";"91";"66";"6.78"
"MG";"365";"600";"87";"71";"11.83"
"MT";"163";"969";"84";"60";"6.19"
"RO";"364";"1112";"78";"64";"5.76"
"PB";"230";"1191";"75";"65";"5.46"
"TO";"153";"482";"75";"60";"12.45"
"CE";"116";"707";"72";"65";"9.19"
"MA";"316";"244";"72";"62";"25.41"
"PR";"369";"915";"72";"60";"6.56"
"BA";"242";"256";"69";"50";"19.53"
"PE";"101";"1130";"68";"62";"5.49"
"BA";"324";"942";"63";"56";"5.94"
"RS";"116";"1317";"63";"55";"4.18"
"MT";"364";"750";"60";"57";"7.6"
"RS";"386";"623";"60";"48";"7.7"
"PA";"230";"280";"55";"47";"16.79"
"PR";"476";"427";"55";"43";"10.07"
"GO";"60";"803";"52";"50";"6.23"
"CE";"222";"359";"51";"47";"13.09"
"MG";"251";"271";"51";"35";"12.92"
"PI";"343";"742";"51";"47";"6.33"
"BA";"110";"210";"50";"41";"19.52"
"MT";"70";"589";"50";"42";"7.13"
"MA";"135";"390";"49";"44";"11.28"
"PE";"423";"144";"49";"32";"22.22"
"MS";"163";"781";"47";"46";"5.89"
"PA";"316";"271";"47";"42";"15.5"
"PR";"116";"1113";"47";"45";"4.04"
"MA";"10";"221";"46";"40";"18.1"
"MA";"222";"152";"46";"36";"23.68"
"SC";"280";"880";"44";"36";"4.09"
"PR";"153";"402";"43";"39";"9.7"
"MS";"262";"285";"41";"34";"11.93"
"PA";"163";"261";"40";"33";"12.64"
"RS";"290";"768";"40";"31";"4.04"
"PA";"10";"158";"39";"37";"23.42"
"PR";"373";"231";"39";"27";"11.69"
"PI";"135";"111";"36";"25";"22.52"
"PI";"316";"448";"36";"35";"7.81"
"GO";"20";"170";"34";"21";"12.35"
"PR";"163";"373";"34";"30";"8.04"
"RJ";"40";"1071";"34";"32";"2.99"
"RS";"285";"408";"33";"28";"6.86"
"SP";"381";"651";"32";"32";"4.92"
"AL";"101";"254";"31";"29";"11.42"
"PB";"101";"509";"30";"27";"5.3"
"SE";"101";"346";"30";"29";"8.38"
"GO";"70";"210";"28";"25";"11.9"
"MG";"50";"592";"28";"28";"4.73"
"MG";"153";"269";"28";"23";"8.55"
"RJ";"393";"320";"28";"25";"7.81"
"AL";"316";"177";"27";"24";"13.56"
"ES";"262";"382";"26";"23";"6.02"
"RS";"392";"364";"26";"20";"5.49"
"GO";"40";"335";"25";"23";"6.87"
"GO";"414";"161";"25";"20";"12.42"
"MT";"158";"119";"25";"23";"19.33"
"RN";"101";"705";"25";"23";"3.26"
"RN";"304";"398";"25";"23";"5.78"
"SP";"153";"449";"25";"21";"4.68"
"BA";"407";"127";"24";"21";"16.54"
"MA";"226";"104";"24";"21";"20.19"
"MA";"230";"119";"24";"22";"18.49"
"MT";"174";"205";"24";"22";"10.73"
"PE";"104";"203";"24";"24";"11.82"
"PE";"408";"141";"24";"23";"16.31"
"RJ";"493";"369";"23";"21";"5.69"
"SC";"116";"328";"23";"19";"5.79"
"RS";"158";"255";"22";"19";"7.45"
"RS";"470";"322";"22";"22";"6.83"
"PA";"222";"37";"21";"13";"35.14"
"RN";"226";"177";"21";"16";"9.04"
"RN";"405";"82";"21";"21";"25.61"
"SE";"235";"241";"21";"15";"6.22"
"BA";"135";"58";"20";"13";"22.41"
"PE";"316";"96";"19";"19";"19.79"
"AC";"364";"220";"18";"18";"8.18"
"PB";"104";"169";"18";"17";"10.06"
"PE";"424";"76";"17";"15";"19.74"
"AL";"104";"130";"16";"15";"11.54"
"AM";"319";"36";"16";"10";"27.78"
"BA";"235";"76";"16";"14";"18.42"
"BA";"349";"52";"16";"12";"23.08"
"MS";"267";"145";"16";"14";"9.66"
"PI";"230";"88";"16";"14";"15.91"
"RS";"293";"110";"16";"10";"9.09"
"CE";"20";"132";"15";"15";"11.36"
"GO";"364";"137";"15";"12";"8.76"
"MS";"158";"133";"15";"15";"11.28"
"PI";"407";"37";"15";"14";"37.84"
"AP";"210";"111";"14";"9";"8.11"
"GO";"50";"159";"14";"10";"6.29"
"MG";"459";"125";"14";"14";"11.2"
"MS";"60";"157";"14";"11";"7.01"
"RR";"174";"81";"14";"13";"16.05"
"CE";"230";"22";"13";"12";"54.55"
"PE";"428";"202";"13";"12";"5.94"
"PR";"158";"99";"12";"9";"9.09"
"PR";"272";"53";"12";"8";"15.09"
"AC";"317";"52";"11";"11";"21.15"
"DF";"80";"68";"11";"9";"13.24"
"MA";"402";"26";"11";"8";"30.77"
"MG";"267";"130";"11";"10";"7.69"
"AL";"423";"39";"10";"8";"20.51"
"BA";"20";"48";"10";"9";"18.75"
"BA";"420";"28";"10";"8";"28.57"
"DF";"20";"348";"10";"10";"2.87"
"PA";"308";"34";"10";"10";"29.41"
"PB";"412";"28";"10";"10";"35.71"
"PI";"222";"33";"10";"10";"30.3"
"RS";"287";"120";"10";"9";"7.5"
"SC";"153";"71";"10";"7";"9.86"
"TO";"10";"127";"10";"9";"7.09"
"AM";"174";"73";"9";"8";"10.96"
"CE";"402";"13";"9";"5";"38.46"
"DF";"60";"121";"9";"8";"6.61"
"ES";"259";"123";"9";"7";"5.69"
"GO";"452";"105";"9";"7";"6.67"
"MA";"330";"5";"9";"3";"60"
"PE";"407";"119";"9";"9";"7.56"
"RO";"435";"69";"9";"8";"11.59"
"TO";"230";"21";"9";"8";"38.1"
"DF";"70";"285";"8";"8";"2.81"
"GO";"80";"78";"8";"8";"10.26"
"MS";"463";"60";"8";"8";"13.33"
"PA";"155";"55";"8";"7";"12.73"
"PR";"487";"43";"8";"4";"9.3"
"RJ";"356";"142";"8";"7";"4.93"
"RN";"110";"112";"8";"8";"7.14"
"RR";"401";"35";"8";"5";"14.29"
"RS";"472";"104";"8";"8";"7.69"
"SP";"101";"256";"8";"6";"2.34"
"BA";"418";"37";"7";"5";"13.51"
"DF";"251";"59";"7";"6";"10.17"
"GO";"158";"41";"7";"5";"12.2"
"RN";"406";"127";"7";"7";"5.51"
"RO";"429";"28";"7";"6";"21.43"
"RS";"101";"137";"7";"7";"5.11"
"RS";"468";"45";"7";"5";"11.11"
"AL";"416";"13";"6";"6";"46.15"
"AL";"424";"15";"6";"4";"26.67"
"BA";"330";"49";"6";"6";"12.24"
"PB";"361";"36";"6";"5";"13.89"
"PE";"116";"48";"6";"5";"10.42"
"RS";"153";"135";"6";"6";"4.44"
"BA";"367";"137";"5";"3";"2.19"
"CE";"226";"7";"5";"4";"57.14"
"MS";"376";"62";"5";"5";"8.06"
"RR";"432";"23";"5";"4";"17.39"
"RS";"471";"81";"5";"5";"6.17"
"SC";"163";"135";"5";"4";"2.96"
"BA";"415";"63";"4";"2";"3.17"
"PA";"153";"8";"4";"4";"50"
"RJ";"465";"250";"4";"4";"1.6"
"RN";"427";"40";"4";"4";"10"
"RO";"319";"128";"4";"4";"3.13"
"TO";"242";"26";"4";"4";"15.38"
"CE";"304";"51";"3";"2";"3.92"
"CE";"403";"6";"3";"3";"50"
"MG";"146";"55";"3";"3";"5.45"
"MG";"356";"53";"3";"3";"5.66"
"PI";"402";"24";"3";"3";"12.5"
"SC";"480";"58";"3";"3";"5.17"
"TO";"235";"9";"3";"1";"11.11"
"BA";"30";"4";"2";"2";"50"
"BA";"410";"26";"2";"2";"7.69"
"DF";"40";"124";"2";"2";"1.61"
"ES";"447";"8";"2";"2";"25"
"MG";"354";"96";"2";"2";"2.08"
"MG";"364";"45";"2";"2";"4.44"
"MS";"487";"6";"2";"1";"16.67"
"PB";"427";"12";"2";"2";"16.67"
"PE";"110";"15";"2";"2";"13.33"
"PR";"280";"22";"2";"2";"9.09"
"RO";"425";"32";"2";"2";"6.25"
"RS";"448";"86";"2";"2";"2.33"
"SP";"459";"29";"2";"1";"3.45"
"AM";"317";"1";"1";"1";"100"
"ES";"393";"37";"1";"1";"2.7"
"MS";"359";"6";"1";"1";"16.67"
"MS";"419";"11";"1";"1";"9.09"
"PB";"405";"15";"1";"1";"6.67"
"PI";"235";"4";"1";"1";"25"
"PR";"467";"27";"1";"1";"3.7"
"RO";"174";"56";"1";"1";"1.79"
"RO";"421";"23";"1";"1";"4.35"
"RR";"210";"1";"1";"1";"100"
"SC";"158";"35";"1";"1";"2.86"
"SP";"262";"7";"1";"1";"14.29"
"SP";"488";"33";"1";"1";"3.03"
"TO";"226";"9";"1";"1";"11.11"
"AC";"0";"3";"0";"0";"0"
"AC";"307";"5";"0";"0";"0"
"AL";"110";"1";"0";"0";"0"
"AM";"0";"4";"0";"0";"0"
"AM";"230";"24";"0";"0";"0"
"AP";"0";"1";"0";"0";"0"
"AP";"156";"57";"0";"0";"0"
"BA";"430";"1";"0";"0";"0"
"CE";"0";"3";"0";"0";"0"
"CE";"122";"2";"0";"0";"0"
"DF";"0";"6";"0";"0";"0"
"ES";"0";"7";"0";"0";"0"
"ES";"484";"1";"0";"0";"0"
"GO";"0";"12";"0";"0";"0"
"GO";"251";"12";"0";"0";"0"
"MA";"0";"1";"0";"0";"0"
"MG";"0";"8";"0";"0";"0"
"MG";"265";"2";"0";"0";"0"
"MS";"0";"3";"0";"0";"0"
"MS";"436";"5";"0";"0";"0"
"MT";"0";"3";"0";"0";"0"
"MT";"242";"1";"0";"0";"0"
"PA";"0";"12";"0";"0";"0"
"PA";"158";"1";"0";"0";"0"
"PB";"0";"5";"0";"0";"0"
"PB";"110";"1";"0";"0";"0"
"PB";"116";"11";"0";"0";"0"
"PB";"426";"1";"0";"0";"0"
"PE";"0";"9";"0";"0";"0"
"PI";"0";"2";"0";"0";"0"
"PI";"20";"1";"0";"0";"0"
"PR";"0";"13";"0";"0";"0"
"PR";"469";"55";"0";"0";"0"
"RJ";"0";"23";"0";"0";"0"
"RJ";"354";"6";"0";"0";"0"
"RJ";"485";"2";"0";"0";"0"
"RJ";"495";"32";"0";"0";"0"
"RN";"0";"6";"0";"0";"0"
"RN";"437";"1";"0";"0";"0"
"RO";"0";"4";"0";"0";"0"
"RR";"0";"1";"0";"0";"0"
"RR";"431";"1";"0";"0";"0"
"RS";"0";"17";"0";"0";"0"
"RS";"480";"7";"0";"0";"0"
"SC";"0";"10";"0";"0";"0"
"SC";"285";"2";"0";"0";"0"
"SE";"0";"2";"0";"0";"0"
"SP";"0";"9";"0";"0";"0"
"TO";"0";"3";"0";"0";"0"
